Date/Time,,V-CH1,V-CH2,V-CH3,V-CH4,V-CH5,V-CH6,V-CH7,V-CH8,V-CH9,V-CH10,V-CH11,V-CH12,V-CH13,V-CH14,V-CH15,V-CH16,V-CH17,V-CH18,V-CH19,V-CH20,V-CH21,V-CH22,V-CH23,V-CH24,V-CH25,V-CH26,V-CH27,V-CH28,V-CH29,V-CH30,MV-CH1,MV-CH2,MV-CH3,MV-CH4,MV-CH5,MV-CH6,MV-CH7,MV-CH8,MV-CH9,MV-CH10,MV-CH11,MV-CH12,MV-CH13,MV-CH14,MV-CH15,MV-CH16,PT100-CH1,PT100-CH2,PT100-CH3,PT100-CH4,PT100-CH5,PT100-CH6,PT100-CH7,PT100-CH8,PT100-CH9,PT100-CH10,PT100-CH11,PT100-CH12,PT100-CH13,PT100-CH14,40V
,RN,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,mV/mA,mV/mA,mV/mA,mV/mA,mV/mA,mV/mA,mV/mA,mV/mA,mV/mA,mV/mA,mV/mA,mV/mA,mV/mA,mV/mA,mV/mA,mV/mA,¡æ,¡æ,¡æ,¡æ,¡æ,¡æ,¡æ,¡æ,¡æ,¡æ,¡æ,¡æ,¡æ,¡æ,V
2025-4-11 14:00,1,0.001,0.0009,0.0028,0.0028,0.0028,0.0024,0.0027,0.0028,-1.0486,-1.0722,-1.0546,-1.0554,0.0026,0.0027,0.0026,0.0026,0.0004,-0.0015,0.0024,0.0001,-1.0418,-1.0736,-1.0855,-1.0891,----,----,----,----,----,----,2,2,1,1,122,131,1,1,2,2,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-11 16:00,2,0.0007,0.0006,0.0026,0.0025,0.0025,0.0022,0.0025,0.0025,-1.0495,-1.072,-1.0558,-1.0567,0.0025,0.0027,0.0024,0.0024,0.0001,-0.0017,0.002,-0.0001,-1.0409,-1.0727,-1.0835,-1.0881,----,----,----,----,----,----,2,2,1,1,122,131,1,1,2,2,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-11 18:00,3,0.0009,0.0008,0.0028,0.0027,0.0027,0.0022,0.0027,0.0027,-1.0486,-1.0685,-1.0514,-1.0516,0.0026,0.0027,0.0025,0.0024,0.0004,-0.0015,0.0023,0.0002,-1.0378,-1.0713,-1.0822,-1.0856,----,----,----,----,----,----,2,2,1,1,122,131,1,1,2,2,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-11 20:00,4,0.0009,0.0009,0.0028,0.0028,0.0027,0.0024,0.0027,0.0028,-1.0498,-1.0696,-1.053,-1.0546,0.0026,0.0027,0.0024,0.0025,0.0005,-0.0015,0.0024,0.0002,-1.0348,-1.0686,-1.0809,-1.0852,----,----,----,----,----,----,2,2,1,1,122,131,1,1,2,2,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-11 22:00,5,0.0008,0.0007,0.0026,0.0026,0.0026,0.0023,0.0025,0.0026,-1.0494,-1.0701,-1.0541,-1.0557,0.0025,0.0026,0.0025,0.0025,0.0002,-0.0017,0.0021,0,-1.0355,-1.0668,-1.0745,-1.0811,----,----,----,----,----,----,2,2,1,1,122,131,1,1,2,2,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-12 0:00,6,0.0008,0.0007,0.0026,0.0026,0.0025,0.0023,0.0025,0.0026,-1.047,-1.0698,-1.055,-1.0571,0.0025,0.0026,0.0025,0.0024,0.0002,-0.0016,0.0021,0.0001,-1.0351,-1.0683,-1.0749,-1.079,----,----,----,----,----,----,2,2,1,1,122,131,1,1,2,2,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-12 2:00,7,0.0008,0.0007,0.0027,0.0027,0.0026,0.0025,0.0025,0.0026,-1.0469,-1.0702,-1.0556,-1.058,0.0025,0.0025,0.0024,0.0024,0.0003,-0.0015,0.0022,0.0002,-1.0353,-1.068,-1.0748,-1.0798,----,----,----,----,----,----,2,2,1,1,122,131,1,1,2,2,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-12 4:00,8,0.0009,0.0007,0.0027,0.0028,0.0027,0.0024,0.0025,0.0026,-1.0477,-1.0711,-1.0562,-1.0589,0.0025,0.0026,0.0025,0.0024,0.0004,-0.0013,0.0023,0.0003,-1.0366,-1.0694,-1.0756,-1.0814,----,----,----,----,----,----,2,2,1,1,122,131,1,1,2,2,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-12 6:00,9,0.001,0.0009,0.0028,0.0028,0.0028,0.0026,0.0027,0.0028,-1.0523,-1.0738,-1.0579,-1.0619,0.0025,0.0025,0.0025,0.0024,0.0006,-0.0012,0.0025,0.0007,-1.038,-1.0714,-1.0775,-1.0839,----,----,----,----,----,----,2,2,1,1,122,131,1,1,2,2,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-12 8:00,10,0.0011,0.001,0.0029,0.003,0.0028,0.0026,0.0028,0.0029,-1.0409,-1.0685,-1.0543,-1.0594,0.0025,0.0026,0.0025,0.0024,0.0007,-0.001,0.0026,0.0009,-1.0356,-1.0671,-1.0774,-1.0846,----,----,----,----,----,----,2,2,1,1,122,131,1,1,2,2,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-12 10:00,11,0.0011,0.001,0.003,0.003,0.0026,0.0026,0.0026,0.0029,-1.0181,-1.0484,-1.04,-1.0516,0.0026,0.0026,0.0026,0.0025,0.0007,-0.0014,0.0026,0.0009,-1.0308,-1.0637,-1.071,-1.0815,----,----,----,----,----,----,2,2,1,1,122,131,1,1,2,2,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-12 12:00,12,0.0012,0.0011,0.0031,0.0031,0.0028,0.0028,0.0027,0.003,-1.0193,-1.0468,-1.034,-1.0385,0.0026,0.0026,0.0026,0.0026,0.0008,-0.0018,0.0028,0.0008,-1.0316,-1.064,-1.0705,-1.0799,----,----,----,----,----,----,2,2,1,1,122,131,2,2,2,2,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-12 14:00,13,0.0013,0.0011,0.0031,0.0031,0.0028,0.0029,0.0028,0.003,-1.0189,-1.0453,-1.0322,-1.0374,0.0026,0.0027,0.0025,0.0026,0.0007,-0.0035,0.0028,0.0005,-1.0057,-1.0495,-1.0646,-1.0793,----,----,----,----,----,----,2,2,1,1,122,131,1,1,2,3,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-12 16:00,14,0.0011,0.001,0.003,0.003,0.0029,0.0027,0.0027,0.0029,-1.0192,-1.0473,-1.0335,-1.0392,0.0026,0.0026,0.0025,0.0025,0.0004,-0.0051,0.0026,0.0001,-1.0054,-1.0393,-1.0469,-1.0569,----,----,----,----,----,----,2,2,1,1,122,131,1,1,2,3,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-12 18:00,15,0.0011,0.001,0.0029,0.0029,0.0028,0.0027,0.0026,0.0029,-1.0144,-1.04,-1.0288,-1.0381,0.0026,0.0026,0.0026,0.0025,0.0002,-0.0059,0.0025,-0.0006,-1.0078,-1.0418,-1.0474,-1.0594,----,----,----,----,----,----,2,2,1,1,122,131,1,1,2,3,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-12 20:00,16,0.0011,0.001,0.003,0.003,0.0027,0.0028,0.0027,0.0029,-1.0137,-1.0381,-1.0271,-1.0367,0.0026,0.0026,0.0025,0.0025,0.0002,-0.0059,0.0025,-0.0008,-1.0098,-1.0439,-1.0499,-1.061,----,----,----,----,----,----,2,2,1,1,122,131,1,1,2,3,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-12 22:00,17,0.0012,0.001,0.0031,0.003,0.002,0.0025,0.0026,0.0028,-1.0127,-1.0358,-1.0267,-1.0371,0.0026,0.0026,0.0025,0.0025,0.0002,-0.0061,0.0026,-0.0011,-1.0102,-1.0434,-1.0516,-1.0626,----,----,----,----,----,----,2,2,1,1,122,131,1,1,2,3,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-13 0:00,18,0.0014,0.0013,0.0032,0.0032,0.0028,-0.0018,0.0013,0.0022,-1.0562,-1.0809,-1.0622,-1.0643,0.0027,0.0026,0.0026,0.0026,0.0004,-0.0062,0.0029,-0.001,-1.0117,-1.0457,-1.0531,-1.0641,----,----,----,----,----,----,2,2,2,1,122,132,2,2,2,3,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-13 2:00,19,0.0014,0.0013,0.0033,0.0033,0.0025,0.0004,0.0017,0.0028,-1.0261,-1.052,-1.0404,-1.0504,0.0026,0.0026,0.0025,0.0026,0.0005,-0.0051,0.0031,-0.0009,-1.0148,-1.0485,-1.055,-1.066,----,----,----,----,----,----,2,2,2,1,122,132,2,2,2,3,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-13 4:00,20,0.0014,0.0013,0.0033,0.0033,0.0027,0.0028,0.0029,0.0031,-1.0248,-1.0513,-1.0378,-1.0439,0.0026,0.0026,0.0025,0.0025,0.0004,-0.0047,0.003,-0.0009,-1.0159,-1.0498,-1.0562,-1.0667,----,----,----,----,----,----,2,2,2,1,122,132,2,2,2,3,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-13 6:00,21,0.0014,0.0013,0.0032,0.0032,0.0027,0.0029,0.0028,0.0031,-1.0618,-1.0859,-1.0669,-1.0717,0.0026,0.0026,0.0026,0.0026,0.0003,-0.0052,0.0029,-0.001,-1.0172,-1.0513,-1.0579,-1.0679,----,----,----,----,----,----,2,2,1,1,122,131,2,2,2,3,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-13 8:00,22,0.0014,0.0012,0.0032,0.0031,0.0026,0.0029,0.0028,0.0031,-1.0557,-1.0786,-1.06,-1.0644,0.0026,0.0026,0.0025,0.0025,0.0003,-0.0053,0.0029,-0.001,-1.0192,-1.0532,-1.0602,-1.0705,----,----,----,----,----,----,2,2,1,1,122,132,2,2,2,3,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-13 10:00,23,0.0013,0.0011,0.0031,0.0031,0.0025,0.0027,0.0025,0.003,-1.0288,-1.0594,-1.0489,-1.0594,0.0026,0.0026,0.0025,0.0025,0.0001,-0.0055,0.0027,-0.0014,-1.0206,-1.0545,-1.0613,-1.0714,----,----,----,----,----,----,2,2,1,1,122,131,1,1,2,3,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-13 12:00,24,0.0012,0.0012,0.0031,0.0031,0.0026,0.0029,0.0029,0.003,-1.0271,-1.0529,-1.0389,-1.0457,0.0026,0.0026,0.0025,0.0026,0,-0.0063,0.0026,-0.0016,-1.0212,-1.0547,-1.0614,-1.0711,----,----,----,----,----,----,2,2,1,1,122,131,2,1,2,3,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-13 14:00,25,0.0014,0.0012,0.0032,0.0032,0.0028,0.0031,0.003,0.0031,-1.0249,-1.05,-1.0385,-1.0454,0.0026,0.0026,0.0026,0.0025,0.0001,-0.0057,0.0028,-0.0014,-1.0216,-1.0541,-1.0609,-1.0705,----,----,----,----,----,----,2,2,1,1,122,132,2,2,2,3,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-13 16:00,26,0.0013,0.0013,0.0033,0.0032,0.0026,0.003,0.0028,0.0031,-1.0799,-1.0995,-1.0804,-1.0864,0.0027,0.0026,0.0026,0.0026,0.0002,-0.005,0.0028,-0.0012,-1.044,-1.078,-1.0883,-1.0908,----,----,----,----,----,----,2,2,1,1,122,131,1,1,2,3,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-13 18:00,27,0.0012,0.0011,0.003,0.003,0.0022,0.0028,0.0026,0.0028,-1.0554,-1.0784,-1.0623,-1.0661,0.0026,0.0026,0.0025,0.0025,-0.0001,-0.0049,0.0025,-0.0015,-1.0468,-1.0797,-1.0898,-1.0917,----,----,----,----,----,----,2,2,1,1,122,131,1,1,2,3,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-13 20:00,28,0.0013,0.0013,0.0032,0.0032,0.0027,0.0026,0.0029,0.003,-1.034,-1.0649,-1.0537,-1.0593,0.0026,0.0026,0.0025,0.0025,0,-0.0054,0.0028,-0.0013,-1.0449,-1.078,-1.0888,-1.0914,----,----,----,----,----,----,2,2,1,1,122,131,2,1,2,3,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-13 22:00,29,0.0013,0.0013,0.0032,0.0032,0.003,0.0028,0.0031,0.0032,-1.0291,-1.0536,-1.0434,-1.055,0.0026,0.0026,0.0025,0.0025,0.0001,-0.0046,0.0028,-0.0013,-1.0455,-1.0768,-1.0845,-1.0881,----,----,----,----,----,----,2,2,1,1,122,131,2,1,2,3,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-14 0:00,30,0.0014,0.0013,0.0033,0.0033,0.0031,0.0029,0.0032,0.0032,-1.0307,-1.0552,-1.0439,-1.0532,0.0026,0.0027,0.0026,0.0025,0.0005,-0.0033,0.0029,-0.0009,-1.0454,-1.0769,-1.0838,-1.0867,----,----,----,----,----,----,2,2,1,1,122,131,2,2,2,3,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-14 2:00,31,0.0015,0.0014,0.0033,0.0033,0.0032,0.0029,0.0032,0.0033,-1.0342,-1.0626,-1.0527,-1.0607,0.0026,0.0026,0.0026,0.0026,0.001,-0.0019,0.003,-0.0001,-1.0457,-1.0768,-1.0826,-1.087,----,----,----,----,----,----,2,2,1,1,122,132,2,2,2,3,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-14 4:00,32,0.0014,0.0014,0.0033,0.0033,0.0028,0.0026,0.0031,0.0032,-1.0588,-1.0819,-1.0644,-1.0681,0.0026,0.0026,0.0026,0.0026,0.001,-0.0011,0.0029,0.0002,-1.0457,-1.0774,-1.0835,-1.0877,----,----,----,----,----,----,2,2,1,1,122,132,2,2,2,2,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-14 6:00,33,0.0013,0.0012,0.0031,0.0031,0.0028,0.0027,0.0031,0.0031,-1.0723,-1.0934,-1.0736,-1.0807,0.0026,0.0026,0.0026,0.0025,0.0007,-0.0013,0.0027,0.0002,-1.0483,-1.0797,-1.0874,-1.0894,----,----,----,----,----,----,2,2,1,1,122,131,2,1,2,2,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
2025-4-14 8:00,34,0.0013,0.0012,0.0032,0.0031,0.0029,0.0028,0.0031,0.0031,-1.0705,-1.0906,-1.0726,-1.0804,0.0026,0.0026,0.0025,0.0026,0.0007,-0.0012,0.0028,0.0004,-1.0512,-1.0821,-1.0916,-1.0936,----,----,----,----,----,----,2,2,1,1,122,131,2,1,2,2,126,119,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,0
